canvas_term_id,term_id,name,status,start_date,end_date,grading period
3993,2026~1262*1264,25-26/Q1 - Q3 - Steele Creek Elementary,active,2025-08-25T00:00:00-04:00,2026-04-02T23:59:00-04:00,279
3924,2026~1054*1057,25-26/YL - Pinewood Elementary,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3921,2026~1062*1065,25-26/YL - Piney Grove Elementary,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3918,2026~78*79,25-26/S1 - William Amos Hough High School,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3919,2026~78*81,25-26/YL - William Amos Hough High School,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3700,2026~344*345,25-26/S2 - Druid Hills Academy,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3703,2026~326*329,25-26/YL - First Ward Creative Arts Academy,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3704,2026~328*329,25-26/S2 - First Ward Creative Arts Academy,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3705,2026~326*327,25-26/S1 - First Ward Creative Arts Academy,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3706,2026~1150*1153,25-26/YL - Dilworth Elementary,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3941,2026~1190*1193,25-26/YL - Sharon Elementary,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3707,2026~1150*1152,25-26/Q1 - Q3 - Dilworth Elementary,active,2025-08-25T00:00:00-04:00,2026-04-02T23:59:00-04:00,279
3926,2026~1102*1105,25-26/YL - Randolph IB Middle,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3940,2026~1174*1177,25-26/YL - Selwyn Elementary,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3967,2026~806*807,25-26/S1 - Rocky River High School,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3968,2026~808*809,25-26/S2 - Rocky River High School,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3610,2026~822*823,25-26/S1 - Charlotte-Mecklenburg Academy,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3611,2026~824*825,25-26/S2 - Charlotte-Mecklenburg Academy,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3612,2026~62*65,25-26/YL - Allenbrook Elementary,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3614,2026~70*73,25-26/YL - Ashley Park PreK-8 School,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3827,2026~904*905,25-26/S2 - Northeast Middle,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3969,2026~806*809,25-26/YL - Rocky River High School,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3976,2026~1198*1201,25-26/YL - South Academy of International Languages (S.A.I.L.,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3973,2026~1238*1241,25-26/YL - Southwest Middle School,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3974,2026~1238*1239,25-26/S1 - Southwest Middle School,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3975,2026~1240*1241,25-26/S2 - Southwest Middle School,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3981,2026~1014*1017,25-26/YL - Phillip O. Berry Academy of Technology,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3982,2026~142*145,25-26/YL - Palisades High School,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3989,2026~1216*1217,25-26/S2 - South Mecklenburg High School,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3990,2026~1214*1217,25-26/YL - South Mecklenburg High School,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
